"pw_id","gap_d0_7","gap_d8_30","gap_d91p","category","direction","readable","n_methods","attenuation_pct","class"
"gludeg-i-pwy",-0.961915665318167,-1.01113784893813,-0.521157813881977,"Amino acid / nitrogen metabolism","Vaginal enriched","GLUDEG-I-PWY: GABA shunt",4,45.8208414030146,"persists"
"pwy-7456",-1.01309415690619,-1.53364490629032,-0.547125663349985,"Carbohydrate metabolism","Vaginal enriched","PWY-7456: mannan degradation",4,45.9945889905429,"persists"
"pwy-5030",-0.475652245852265,-1.37912343751424,-1.2336380916399,"Amino acid / nitrogen metabolism","Vaginal enriched","PWY-5030: L-histidine degradation III",3,-159.357146402094,"widened"
"pwy-4984",-0.830362411845258,-1.20671146510312,-0.878507629839235,"Amino acid / nitrogen metabolism","Vaginal enriched","PWY-4984: urea cycle",4,-5.79809698839655,"widened"
