"pathway","readable","direction","n_methods","category"
"pwy4fs-8","PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)","C-section enriched",3,"Lipid / isoprenoid metabolism"
"pwy66-391","PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)","C-section enriched",3,"Lipid / isoprenoid metabolism"
"pwy-6121","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I","C-section enriched",3,"Nucleotide metabolism"
"pwy-6122","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II","C-section enriched",3,"Nucleotide metabolism"
"pwy-6277","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis","C-section enriched",3,"Nucleotide metabolism"
"pwy-7187","PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II","C-section enriched",3,"Nucleotide metabolism"
"pwy-7219","PWY-7219: adenosine ribonucleotides de novo biosynthesis","C-section enriched",3,"Nucleotide metabolism"
"pwy-7220","PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II","C-section enriched",3,"Nucleotide metabolism"
"pwy-7222","PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II","C-section enriched",3,"Nucleotide metabolism"
"pwy-7229","PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I","C-section enriched",3,"Nucleotide metabolism"
"pwy-5791","PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)","C-section enriched",3,"Other"
"pwy-5837","PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I","C-section enriched",3,"Other"
"p161-pwy","P161-PWY: acetylene degradation","C-section enriched",3,"Other specialised"
"p221-pwy","P221-PWY: octane oxidation","C-section enriched",3,"Other specialised"
"pwy-1861","PWY-1861: formaldehyde assimilation II (RuMP Cycle)","C-section enriched",3,"Other specialised"
"pwy0-1533","PWY0-1533: methylphosphonate degradation I","Vaginal enriched",3,"Other specialised"
"trna-charging-pwy","TRNA-CHARGING-PWY: tRNA charging","C-section enriched",3,"Other specialised"
"pwy-3781","PWY-3781: aerobic respiration I (cytochrome c)","C-section enriched",3,"Respiration / electron transport"
"so4assim-pwy","SO4ASSIM-PWY: sulfate reduction I (assimilatory)","C-section enriched",3,"Sulfur metabolism"
